take_id,filename,voice,source_class,selected_speed,source_path_class,source_sha256,output_sha256,text_sha256,text,source_samples,trim_start_sample_24k,trim_end_sample_24k,output_samples_48k,duration_seconds,revised_start,revised_end,window_seconds,headroom_seconds
T011,T011.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,ef9e746f11b58eb0355083613da6e4d06c2293f95fc08a56073311c7e566ce2b,becf7a8d3ac32a3129ea73b08eb6bbda33c49205941f4711e6435265c6c233c8,7cf01a1050ca660ffc0131fb861f88f235cccf16ead3e5504129d66a54c2fdf0,"Different industries, facing different problems, have begun solving them with the same visual vocabulary.",184800,8160,170640,324960,6.77,00:00:54.000,00:01:04.000,10.0,3.23
T012,T012.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,e6f0704f19af9aeaa5275e91a85e2d3019b49fbf683e48a3358de6a9673efbcf,eee66f03c2a0264a3630a150ed984ab00562d91325b115f9a2f028c21a5b8505,27429cb3a0b110048b05a499ea927765838f2198becfce6c10b36d570ece4cd7,Color gives us one measurable piece of the pattern.,98400,7440,84000,153120,3.19,00:01:04.000,00:01:11.500,7.5,4.31
T013,T013.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,3a1af7e3ab99fcb6fdb35e5f18c30ee811d6e1549bfc69ba705aae16f55e1f07,cdfabd954ac86a64ea99902de7a65b179106dd9db8f9e55ccf3ee8ff5457d492,70b421e5ba27c3086c871f2f5712383399806330d7599c133cf13fcd26c063e0,"One museum collection grew grayer over time, while brown and yellow declined.",143400,8640,127440,237600,4.95,00:01:11.500,00:01:21.000,9.5,4.55
T014,T014.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,5531fc22b0784c313745b5d386ca7b76514c349597c28d8446a0e711a9e08d59,ebe48c2199e85ad732000be1890c56ea16b41e460388e7943520e032a2fc698e,0ecdccbef533e00b1a8a7e0531c5e06a6be026ac128b88281749ddc772f6d75a,But the researchers warn: the collection is not a random sample of the world.,132000,7440,117120,219360,4.57,00:01:21.000,00:01:27.000,6.0,1.43
T015,T015.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,0012af485cd9f6ac8fcd2ba4b9076d0a162cfe95fa46a1942248a15a7c55849a,3ac1c765d3892cb90153f03aaac4fb1b7d3bcf36db949f5eeb34481ac6bf3599,0da8b1681d0b1e1d86eb8058c7de9e6645f74c715b25adabed7da601077b19c6,They also point to a material shift: from wood toward manufactured surfaces.,142200,7920,130800,245760,5.12,00:01:27.000,00:01:36.000,9.0,3.88
T016,T016.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,0b3c1c3ae44b6066ecec1f5705c5d678fc0e2bc705849897a197b141b32aa704,e3250b5331f034cb72f2d77557fa49684cc1662c1179869a84bd0f4eafb107c7,f68dd9d95471d2bd85eeeab7df942668d500db0a298817e1d7102f15d66dbc4b,The car park makes the pattern easier to see.,81600,7680,68880,122400,2.55,00:01:36.000,00:01:41.000,5.0,2.45
T017,T017.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,82e74241949365e08ea57069906d00881377cf87483b971cba202f091bffe7e6,42404d4a8e000ef9857d8fbec8d6c0741afa586a247d08f46b6c327e80b7ee25,652daae0891541ccd6913c329e03377dbd055556753c36f25b6eed8b5d5510d8,"In 2025: white 29%, black 23%, gray 22%, and silver 7%.",217200,8160,202320,388320,8.09,00:01:41.000,00:01:51.000,10.0,1.91
T018,T018.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,9d09d0302c34abe3facf4d690b1e10c065aac6c83591fdeb8cad0d293c6a6f65,1462e2db503db26b45a4959667d149ba91dfd49157d39b1a8611d2e1837d6018,4841cb69bf06368861e590502a1cf63ffe6ed957fcc673b7f9241fd8236ab064,"White, black, and gray together: 74%. Add silver, and the grayscale share reaches 81%.",198600,8400,185280,353760,7.37,00:01:51.000,00:02:02.000,11.0,3.63
T019,T019.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,635012dfd5a5c60d66ee6dabb596c7a0d15ff2241f816baf8255c907ed48ff45,d676c2507c83d65e246d060b67c2b6b2a0a9d2c1061768bb3352b174fa92ad35,da7d650df3901d9ff4f902e4679d7eabccd7bf7c46ed0f03843e725a44267bfb,"In Europe, gray alone led at 26%. That proves dominance.",131400,7920,121440,227040,4.73,00:02:02.000,00:02:09.000,7.0,2.27
T020,T020.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,666a4894f85084cc60fcfb22ec46f372037bc340294fae34dc7e0871b60d3e17,774e1a5e6a3cb227a2111083cc791e121f93bb9b8d96a3ba0de940684ae81144,ed61cf91f346a3d2311c391317227c32dd28a793cbc957d7ebbf4d143f85f5a8,It does not prove why. Several forces may contribute.,103800,7440,90480,166080,3.46,00:02:09.000,00:02:13.535,4.535,1.075
T021,T021.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,d95536e1fbb09cdc5736fcbbddcf6c9c4bd15569638440cc1e1b8882a2ff2ddd,c28262e490224cbeed94c86a7e998adb42a270aa43a2cf79ae59952593e158b2,ba9fe1ea31e67d0d033d3c4deec20b6200cb1967936f193b6142448300d3cded,The report does not isolate or rank them.,78000,7440,64800,114720,2.39,00:02:13.535,00:02:17.000,3.465,1.075
T022,T022.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,ccf5ee399bc28cc29276826448b6f8dca0d3b54f50da88f90d8464da77294b20,0e7e5e7ef4390443f440ff7a91ad8a3eef8c682d143544c773b949bb66c1fc43,9457174d5e993c706d0eb4cf127d6435f649b56c570016733aeecbbd78524d1b,The safest color is the one the fewest people reject.,102000,7440,90960,167040,3.48,00:02:17.000,00:02:22.000,5.0,1.52
T023,T023.wav,am_michael,SURGICAL_REWRITE,1.09,takes,ec498dad53e08af2378abd7f21571a26cc2d12ec8f087277a082c842ca8aa15b,ff515db4189701007f5a05dd68cf22d5f8289f0926148d4206aa78a696b199dd,76ebeceba6d9cc7bf6a07ea4d5faa3fa38d4863dab1ef88b03a827ea44e324f0,Avoiding rejection rather than earning love appears beyond cars.,115800,7440,106560,198240,4.13,00:02:22.547,00:02:26.855,4.308,0.178
T024,T024.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,de6015d429b02448a7e640e69a02bc6409115f5e1c33b1142ba28ec43e54bb8c,bc85be07ef072d50a31d42c8ae1fc2db2500ff10b6c188e7e071c1aae376b83f,a01aa891959d52fbeb01009effa13c97a955eabf39d9200fed89ca990919fb50,Psychologists call this processing fluency: the ease of making sense of something.,141600,7920,128400,240960,5.02,00:02:27.863,00:02:32.983,5.12,0.1
T025,T025.wav,am_michael,SURGICAL_REWRITE,1.03,takes,1f92f6a81b0c86b9ac937218852d85cf6bb0956e7a1548817a1ba1b2f107dd49,39dd5bef84b99780a095a4135d4f92944b345b32faa0f8b28a7a8f8f85a1f7e3,6bd9f52ff19460ca908fe45959654e44c1696958ffaca69f1c4496ce5a64216b,"Research suggests familiar forms, clear contrast, and repeated exposure may ease processing and influence preference.",215400,8160,204720,393120,8.19,00:02:32.983,00:02:41.350,8.367,0.177
T026,T026.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,73e4450b04f7181e1d5ed39aead7e88113074aeef46c6523e7b997eac4c2bc60,b9306517ebc4272708936557e0fd342a5ece1b8d3220d684b24fbdf3e781ee08,d197fe2ddf54ded82a6b92d2fed935af313175c3d24847587306e876f0230185,This does not mean simple is objectively beautiful.,92400,7200,82320,150240,3.13,00:02:45.323,00:02:48.576,3.253,0.123
T027,T027.wav,am_michael,SURGICAL_REWRITE,1.0,takes,aeba84614c069749e150f54cb02c9d0ab6b91ad6ee4a28c7c07ba1a47fc3bd1a,0978ebe806d9502631e4d61cd0c6c4131d4fa6a78a206e60dc8d3447616f629e,1c5a155d0cf21b15107e08561f69cd901a6455253bc1c46052cca798ec878b98,Complexity creates interest and identity; familiarity can become boredom.,138000,7680,124080,232800,4.85,00:02:48.576,00:02:53.675,5.099,0.249
T028,T028.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,d9cbafc3cf17e3bf9dea3bc0bcf56e0e1036ea6df25bea00c947000c33233f11,29c0492f5f7e2898f0d6c78d93823d6b2690d8e37367114bb4c787cfa020c0ad,b992ca7980544539d55f77ab266f0516f7aa61c8ad5ef51a870624269a5dc1ee,"But in a crowded marketplace, immediate comprehension has value.",120600,8160,107280,198240,4.13,00:02:55.271,00:02:59.501,4.23,0.1
T029,T029.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,d8e9ae2c91669e2dd9059af203a6bb9ba3bba476cb1f08ff6a5dad13731b3b63,b7df4b967b400302636dab0e17d9d970d915b2d9548bc070a9d010287b4a8ff7,71b4bae8dd94f8c5e457ae98af15c31b100d82e9231d440d11511c895b762259,A product has seconds to explain itself on a shelf.,94800,7680,79680,144000,3.0,00:03:00.592,00:03:04.720,4.128,1.128
T030,T030.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,27a631443e1d2973b1f89b67abb32c3176751776d443db9b552423ddfb0d6141,7b274d2fe0f0b99d93d050b9b39e7be75092b52364a86fea4f7be995d25000d4,d2d84600a03d59b55aad85d781670d8baa33959241341833f69c1437950dcf4d,"A building proposal must survive clients, planners, engineers, budgets, and neighbors.",133200,6720,124320,235200,4.9,00:03:04.720,00:03:10.090,5.37,0.47
T031,T031.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,39509a5439e951ab1799196778e3e816bd34f15635653a20f0324d52b1a556bb,385cc919afdb39beb72e80687e2e0624a27ffa51c3a3436b8886d03e6d3b6b3b,efeb0430fd2f9e3f5ed2e1ae7308d44e6f80258695e64322fe681556042c812d,A brand must remain recognizable on a billboard and inside a tiny icon.,145800,7680,131280,247200,5.15,00:03:10.090,00:03:15.340,5.25,0.1
T032,T032.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,07c0c5fc29626414ed0f9e20d1e53533b6cd7abd474c928f84199934a9703699,dadd5d4639c17ea740b0917f4056333c5ba650e0f580b8c35fe4bf927b54bdd6,34ec5bbc620cf3d4069cbdd1cd8782ba7c6ea2bcde7be96396725db39fe4f2a7,"At every stage, unfamiliarity creates a question. A question creates friction.",145800,7680,132480,249600,5.2,00:03:17.919,00:03:23.815,5.896,0.696
T033,T033.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,b15be2b6f168f30f68370b75d98dd277f6452281717e147e7f11d59d349362c7,b0a750151f9cc9df4ca3d76e259782842d2abe0918f0fb3212b4987d0ef5fca8,13bf5a64cb955ed1fb7659584cd95d737ba4065c19bdbe14095bfbed136df2f2,And friction needs someone willing to defend it.,86400,7680,73200,131040,2.73,00:03:25.621,00:03:28.603,2.982,0.252
T034,T034.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,60a65387d68a06efd5e12e22471714ca4ee3163eb99a30e8b52f760c8583b6d8,2bb2d5d4bead748747af7807760a2e4bf785c3a0fd177990a47cf2c6b5da2921,cc7889e52a04cde8f0e3adc97b55a92ff0cda402b9f66bf585e91807b168c586,Nowhere is low friction more visible than on a screen.,104400,7920,90720,165600,3.45,00:03:30.640,00:03:34.445,3.805,0.355
T035,T035.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,2d2c9a6d376a799bb3c95fe7e570fa074f32d8668a9cae05a71c8d11403a88c9,67c1fd4a6f34368b77e4db7c30bd8ebcbfaa4a7a19295996eee7059c2f89fa71,51ec0f4de87909bfacf2f887820831f53ce945976c04923e4dc30dafdcea5ff5,"Jakob Nielsen summarized a basic rule of internet behavior: users spend most of their time on other websites, so they prefer a new site to work like the sites they already know.",304800,8400,290160,563520,11.74,00:03:35.656,00:03:48.729,13.073,1.333
T036,T036.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,a53cdc6d7b3603499a8b7c3a3490757d3815734113dc4251aeaff2d5d6f8f88b,1939c6ce35555a68492e62b9cba1425eb6bb101af1069a751c89487a44f317cd,34d0546aff1a63f1786441a238331620efb000905db7e6cd4c165a7300e6dc20,That is good usability. A shopping basket should not become a puzzle.,123600,7680,111120,206880,4.31,00:03:50.569,00:03:55.483,4.914,0.604
T037,T037.wav,am_michael,SURGICAL_REWRITE,1.15,takes,79685225a75cb57413e4c3e026b12e2c511988e7696430f07d7844814787d666,89b2077501b3185e3500dff12bc4593cfc1516c72173413ece6d6703a575df16,c1ec93b65b46ce9e6b59e0481cd0d1febe455da76f630d1c5088bd38fd357cdb,Navigation needs no tutorial. Familiar patterns can improve digital speed and accessibility.,162000,7200,150240,286080,5.96,00:03:55.483,00:04:01.618,6.135,0.175
T038,T038.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,ea17ccdfb16dfe968d791d9efc2054dd0fc241978381ef0b28421057f9f49fd5,33bb55d018aad85230dd7923ea1a09c51d9cc851a20725defa410881ceeac351,1494b633063cc52080a636791c4de07c574f8220e98b01c7908c3f62e6ee4a9b,But successful conventions spread beyond function. The same rounded cards.,125400,6480,116400,219840,4.58,00:04:03.120,00:04:08.000,4.88,0.3
T039,T039.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,f63d562ca1796b4a1c2b6a6f698acd304efd4d32f6b123b03e98896c506506fc,ef609a63b3cacfac4d509c37ef6ea60937f7d015d081dcd6e0357b00583c854e,16ce89df7dfa09d93a61423de39ddd64683ab58b6848e557cb96ffb0e9f90ada,The same generous white space. The same centered headline.,99600,6960,87600,161280,3.36,00:04:08.000,00:04:11.722,3.722,0.362
T040,T040.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,56159a82495e1c6bc92d243f183b962a1c29d1b817b5419273cfd3ad970c1108,b17057763b2a5572fb987185827ff04ec416bb2844be31eb58c8845be8e3963b,89cb874c08f75ce7ff8aeff15a41bc07f68bb0a06706e825f412deca91393c1b,The same soft gradient. The same friendly geometric type.,103800,6960,92400,170880,3.56,00:04:11.722,00:04:15.473,3.751,0.191
T041,T041.wav,am_michael,SURGICAL_REWRITE,1.09,takes,e1d76d48efb952c07de4b45ad9efb8e778340c62c0c4c8811dd7c1ab563485db,229161351eb26fca546592c02e030eb17438b34d89472e4437930d1de934be68,5e45cc6ca571cebc4ec0b1532a98f17fd1be1e9c7077609a232f5a719d14f1a6,"Logos face similar pressure: stay clear on phones, watches, browser tabs, packaging, video, and signs.",179400,7920,164640,313440,6.53,00:04:16.979,00:04:23.940,6.961,0.431
T042,T042.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,ec329ff1bcf09215a4887855c1abdba18f7a9ec6b45451651bc7ed101a3e6f03,a2d8e919116313d063fe0e38db013364650c32d3e87ec710a45a4532aa36aa7d,eca35ecd720596b3c6b9245bba9241ee11df832b9b180b26204a19ce08d08a7e,Responsive identity systems often remove detail as space becomes smaller.,132600,7200,120240,226080,4.71,00:04:23.940,00:04:28.912,4.972,0.262
T043,T043.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,2c9c60cf9559fc9160ecc6149b2cbac6190134261b6f2779ca37a68a5ff32820,cde2032efa174ab95efc393ddaf3ae1be9d25b4ed9397ff48aa8b5c74b8a9b7d,acd3e9e1a948575396b87db2f4383425c1cfbd1395cac6049638364a2264620a,"Each individual simplification may be rational. The convergence appears one decision later—when every company reaches for the same solution to signal that it is modern, trustworthy, and easy to use.",309000,7200,299040,583680,12.16,00:04:30.597,00:04:43.759,13.162,1.002
T044,T044.wav,am_michael,ADAPTIVE_EXISTING,1.15,b01-kokoro-adaptive,b68786462a8d87ed8bd2ecff23687110540ad48aa70611f6f23c8a9949418b66,55d16128f9f12bc87c77d195ab4b7e716145a49d5b9f85f340622b65eaacc575,6c39e14f2a0ece1e424f2748658596101562c55035fe7d253973ac3c08fa1e5b,Physical space follows a similar logic. Early McDonald’s restaurants were designed to attract attention.,169800,7200,158160,301920,6.29,00:04:45.800,00:04:52.716,6.916,0.626
T045,T045.wav,am_michael,SURGICAL_REWRITE,1.12,takes,a89011a06bf7d3591e8136d1d21472f6707eff518c700ffe63980e4eab9fad4d,b3594137d8220793b8425ba3ea809c7304541499ea5e73440d30819c5f235cfe,35ed20685d756ecc6976d75cf44ae63f0c214c79d941b469f10e89eb50703b18,McDonald's history calls its 1953 red-and-white tiled building an attention-getting design.,180000,7200,166560,318720,6.64,00:04:52.716,00:04:59.476,6.76,0.12
T046,T046.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,f5ab7a88212e7bd04a36f39a1cddd65edf455c298a3fe6af7c2f2fc86ee04e45,829bb7fa3c4246238edc498c696ea55aed58b03ca51d9de5f227d8b7b907ef8e,3ba27a714b1091dd7d77fcb5c7be17b00b159fcc65381e91f49eea8480f17b87,The arches were not merely a logo placed on the building.,101400,7680,87600,159840,3.33,00:04:59.476,00:05:04.124,4.648,1.318
T047,T047.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,49033c7fc765f77afe327e9c2dcfb7e560f67c8786bb693d1790d47c36eb204e,cb624197ba51e0d5d20e1b01d5ac7cbe5785e0a320cbb27b8782c948decdb430,03dd21ccd2fede73ec45e6ad698e6e46a5190a90848cdd5bcff973810d63b30b,"They were part of the building. In the late nineteen-sixties, that design gave way to the Mansard roof, which could be repeated and remodeled across a growing system.",270000,8400,256080,495360,10.32,00:05:04.124,00:05:15.955,11.831,1.511
T048,T048.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,b59ee18afc204bd8972b68dc85afec065c1318a0113a2baa778d1ff6d63b96be,bdd62e625c0645fcb053fc777672af94a5ae6eeb0f3c9152a80757de44396aeb,ccc8255f16e97b53fc0043506c3005f7e44dff94c52a6ace11d9931a8f3339e6,The lesson is not that every chain became a gray box.,100800,7680,90480,165600,3.45,00:05:17.195,00:05:21.843,4.648,1.198
T049,T049.wav,am_michael,SURGICAL_REWRITE,1.0,takes,73ded8cbc90660cfd6e8b54ef160321e10125163e0466173cac6269b5e812671,a67956d2255c38cd930e6abd9792270a742894d8f7a018be57bd527bf61ab841,5cf58baf497c1090d4043f6a9f1f58da9207231a1d780a0abe0df8afefed7142,McDonald's highlights newer locations using existing architecture and distinctive local features.,174600,7920,163440,311040,6.48,00:05:21.843,00:05:28.496,6.653,0.173
T050,T050.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,9a90e16d19b0e2a2010525967349574f54fca8578852d0947f6e381726f16967,5137766ef0adf196f17c05fd0ee1e8a8f6763efabdfb9914edf475edda7c71d2,69f169281dae5f89c2252f35db56476c48a61f3452af4d21dede907105f2da34,The lesson is that scale changes what a design must do.,98400,7680,84000,152640,3.18,00:05:28.576,00:05:33.224,4.648,1.468
T051,T051.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,9bc19c51faac88dfc71626a550e8817925df13c9fa41a0052240daf726133ee4,b74e5d4659cb47bf4f028fd92cb77380d40db70957d628eee40808e96049eb51,2f1e97fa4617e6b31aec0f5d7dfef1e15658e53230991102164956db5bd5e1b4,A one-off building can be inseparable from its site.,88200,7680,74160,132960,2.77,00:05:34.465,00:05:38.267,3.802,1.032
T052,T052.wav,am_michael,SURGICAL_REWRITE,1.15,takes,13e5c116dea712e5eae82184969dd1d0333f13916be6d80641b59b3f9c7fc7d5,ca45c25c532606df060890d7b90a849ee04fd265e88f834f03b6ea6bbb689e71,5184b4bbbbedfd598bc440e7213db49a9dc6cb2ab1472af6fa13f9908cada04c,"A repeatable system must adapt across plots, rules, contractors, climates, maintenance, and customer expectations.",190800,7200,176880,339360,7.07,00:05:38.267,00:05:45.519,7.252,0.182
T053,T053.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,6ba2664a0169c175011a98209190fdbd08911c7a5f500a60daccd33f05173b56,98db11299a0abc9560b0c7935571661db2afeb30af91919632ea992cf06257ef,18639c9d423143b80a24de59a530451c30b98a37e157bd3c1a2eea4e2b06c881,"The larger the network, the more valuable the adaptable container becomes.",132600,7680,122160,228960,4.77,00:05:46.046,00:05:50.916,4.87,0.1
T054,T054.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,e1f8ea4b9546d6ac716643e7fb14eec524d31184bf9d2bb3f41297cfefb41a39,61414ce6f5a8d55f63dadf41c20c8c5504f4e95902d5abd2bd17ecbb1c5c91a3,b9c052f0329435b625f599c2ac1db28ccc333236ab6344c8fcc1d695b741e1bc,"Identity then migrates into controlled layers: signage, furniture, packaging, lighting, menu screens, and the app.",204600,8400,190080,363360,7.57,00:05:51.366,00:05:59.036,7.67,0.1
T055,T055.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,0f3ccd3584bffa92708ff9e7b7bf8e82d87fe883d18b92b9baafbe5af3076ec3,95ec3ce124073624d7d23854e0bd8f55d112893a4e3d71957f6b38be72541cc9,554abe1e7ac5ec77f88838ae02846b13f65d9088d8b59e2a245e94ae6fdece11,The building becomes quieter so the system can travel further.,107400,7680,94800,174240,3.63,00:05:59.735,00:06:03.960,4.225,0.595
T056,T056.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,591e996358807f8e16dec6c16d11e5dd73bcfbb1d1ed7aa674e8ffa93824562d,9757615dd50261cc7addd027587efeb8666e7f0088bf73c2453dbfda2935ccc0,90634779e80512ac26b5277965c218f09612a6e1ced2c4d7a84cb04742bbed71,"At this point, sameness can emerge without anyone choosing sameness as the goal.",135000,7680,120960,226560,4.72,00:06:05.560,00:06:11.053,5.493,0.773
T057,T057.wav,am_michael,RAW_NATURAL_SPEED,1.0,b01-kokoro-full,4318ff1f2e8586899d1c4227322f5556021c07dea3dc9de90c7b08afb7d6a7c6,2e94eecef642028fd9d03561d10ba45b9cfdaf4a5205ae621e790b276294deee,4fe91b7884882bf38891d8dcdf58fca7b96be314595774e9e095206f2ec7e680,One developer copies a layout that sold quickly.,93000,8160,79680,143040,2.98,00:06:11.639,00:06:14.719,3.08,0.1
T058,T058.wav,am_michael,SURGICAL_REWRITE,1.15,takes,b1b885d92357824bd46d2fe46dfbcaf7667a0d546fcff9a6c007f70b2ab1cbe4,579fda0c947aa86a75baafdbaa73a4dc044350f17dce64199e14d59e5b2a1104,fe9a9d78fead02136563bc08796d8c7ffbaec6be8f1b9567a8b86931eac2b95c,A designer chooses familiar type. A café recreates a photogenic interior.,135600,6960,124080,234240,4.88,00:06:14.719,00:06:19.773,5.054,0.174
